message,emotion
7/13/2025 17:28:03,Timestamp
7/13/2025 18:42:22,Timestamp
7/14/2025 17:52:08,Timestamp
7/14/2025 23:30:08,Timestamp
7/14/2025 23:53:48,Timestamp
7/15/2025 0:19:11,Timestamp
7/15/2025 0:20:59,Timestamp
7/15/2025 10:12:28,Timestamp
7/16/2025 0:50:16,Timestamp
7/16/2025 0:55:45,Timestamp
7/16/2025 1:00:34,Timestamp
7/16/2025 1:05:50,Timestamp
7/16/2025 13:09:49,Timestamp
7/18/2025 22:26:11,Timestamp
7/18/2025 22:32:38,Timestamp
7/18/2025 22:37:46,Timestamp
7/18/2025 22:40:10,Timestamp
7/19/2025 21:43:50,Timestamp
7/19/2025 21:45:47,Timestamp
7/19/2025 21:46:46,Timestamp
7/19/2025 21:48:36,Timestamp
7/19/2025 21:50:32,Timestamp
7/19/2025 21:50:42,Timestamp
7/19/2025 21:52:32,Timestamp
7/19/2025 21:54:19,Timestamp
7/19/2025 21:54:33,Timestamp
7/19/2025 21:58:31,Timestamp
7/19/2025 22:00:01,Timestamp
7/19/2025 22:01:28,Timestamp
7/19/2025 22:01:50,Timestamp
7/19/2025 22:03:42,Timestamp
7/19/2025 22:05:24,Timestamp
7/19/2025 22:09:08,Timestamp
7/19/2025 22:12:05,Timestamp
7/19/2025 22:14:08,Timestamp
7/19/2025 22:15:39,Timestamp
7/19/2025 22:16:55,Timestamp
7/19/2025 22:18:06,Timestamp
7/19/2025 22:19:48,Timestamp
7/19/2025 22:21:40,Timestamp
7/19/2025 22:23:51,Timestamp
7/19/2025 22:25:52,Timestamp
7/19/2025 23:00:30,Timestamp
7/19/2025 23:26:36,Timestamp
7/19/2025 23:45:14,Timestamp
7/19/2025 23:46:47,Timestamp
7/19/2025 23:48:50,Timestamp
7/19/2025 23:49:32,Timestamp
7/19/2025 23:50:14,Timestamp
7/19/2025 23:50:42,Timestamp
7/19/2025 23:51:29,Timestamp
7/19/2025 23:52:09,Timestamp
7/19/2025 23:54:04,Timestamp
7/20/2025 0:09:29,Timestamp
I finally passed the exam I was so stressed about," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Alhamdulillah! I finally got an A for my project. I'm so happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Tomarrow's lecture cancel," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am so excited," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I’m so happy today! I passed all my subjects in the exam!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I pass the exam," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"I have just finished a book, I feel so good."," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
How are you," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Just had a surprise lunch with my best friends after months apart — laughed nonstop and made the best memories. My heart is so full!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I did really well in my presentation. I’m so happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"I'm so happy today,everything feels just right!"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm happy to see you," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Pass the semester exam," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Everything feels light and positive today. I’m genuinely enjoying every moment!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Thinking about my lover fills my heart with joy.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I have pass the exam," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
There is a dj tonight at the university," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When my bike has a full tank of petrol," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When we have a vacation," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am feeling joy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"I'm so happy! Everything feels perfect,and I can't stop smiling.life is beautiful"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
The next book of my favourite book series gets published.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I’m feeling absolutely wonderful today!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I have got selected for a course of study," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
All praise be to to almighty.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
With my friends," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Be happy always," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When I visit foreign," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm talking with my favourite person," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Every thing is very well," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am watching cricket," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
With my family," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I received a surprise birthday gift from my loved ones," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Today i had a great time with my best friend," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
All praise be to god," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"I'm feeling so incredibly happy right now! Everything just feels right, and I can't stop smiling. Today is truly a good day!"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am in happy mood today," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I’m feeling so happy right now," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm feeling so happy today! Everything just feels bright and full of possibilities. Grateful for the little things that bring big smiles!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When someone says they love my character," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am going on a trip next week," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I feel incredibly happy today. Alhamdhulilllahh...," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Just booked my dream trip! So excited," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Today feels amazing! I’m just overflowing with happiness and gratitude," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm so happy right now! I can't stop smiling," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When seeing life partner," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I’m so excited," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
My friend found a good partner," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"I met my boyfriend after one year, and I felt very happy..."," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
University life is over i am so happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am selected for a foreign university," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Yaaaayyyyy I’m super excited," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm so happy to let you know that I've passed all the subjects and I'm eligible to writer the next semester exams. I don't even remember how I managed to answer all those questions.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"Had soo much fun, much needed."," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"""I just got my results and I passed with flying colors! I'm so happy and relieved right now!"""," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"Hey dude, you did your best"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
That made may day," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When we having a good which is our favorite," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I finally finished my assignment before the deadline! Feeling so happy and relieved," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When I arrange to go on atrip," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm feeling really happy today! Everything just feels good.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Just feeling really happy right now—had to say it. Hope you're having a good day too!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Feeling really happy today—just one of those good days where everything feels right.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Hey what's up?," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm very Lucky to have you in my life.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
chilll brooo," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am fine," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I have selected for 4th year special (Honors) degree.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When my friends suddenly come to my house," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
University trip," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"I'm feeling so happy right now! Everything is going well, and I just can't stop smiling."," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When I get a credit from my favourite person," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"I’m feeling absolutely amazing today! Everything just feels right, and I’m so grateful for the little moments that bring so much happiness. Smiling nonstop and sending good vibes your way!"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm going home," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I achieved the goal which I prayed for," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am very happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am very happy to sharing this information with you," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Tomorrow l will go to the trip," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Going on a trip," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm so happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Returning home from hostel," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I was successed in my career," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I feel excited for today," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I got best results in exam," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
when i met my friends yesterday unexpectedly.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
When talking to God and parents," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Everything just seems to be going right," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I was happy when I understood a tough concept in statistics practical after struggling with it for days.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I felt joy when I saw my name on the Dean’s List after the semester results were released.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
IAM so happy," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I have passed in all examinations," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am going home," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am excited," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I feel happy when I play with my nephew," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Got selected for the university badminton team.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Got good result in semester exam," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Won the inter-faculty football match.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"She replied ""haha"" instead of ignoring me!"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Got free lunch from senior today," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Got my first internship offer today," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Good day," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Top rank in class this semester! All that grinding paid off!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Scored the winning goal today! Felt amazing!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Just got my dream job! Let’s goooo!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Finally bought my first bike! Can’t stop smiling!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Had the most perfect day with my favorite people.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I scored a goal in today's match.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I finally submitted that assignment early—feeling so accomplished!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Guess who aced the midterm? Me!!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I'm looking great today," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Group project actually went well... miracles happen," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Got my internship offer today—I’m so hyped!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Coffee + friends + no lectures = perfect day," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Just got tickets to my dream concert," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
All lectures cancelled today. I feel free!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Got great feedback from my professor—made my day!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"Had the best study session ever, felt so productive."," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I got the admission to my dream university," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"My presentation rocked, and I’m still buzzing!"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Just vibing in the library with good music and no stress.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"Laughed so hard today, I forgot all my worries."," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Today was a perfect mix of laughter and sunshine.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"Made someone smile today, and it made my day too."," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Finally finished a tough task—so proud of myself!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Nothing beats that warm cozy feeling after a good meal.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Got a surprise compliment that totally made me blush.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
That made me smile.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Today was a great day.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am proud of what I did.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I am excited for the weekend.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Successfully completed my diploma.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Bought a new car.," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Weekend trip with the boys confirmed! Time to chill!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Guess who aced the coding test? This guy right here!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Guess who aced the coding test? This guy right here!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Mom sent homemade biriyani to the hostel!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I finally got the grade I was hoping for—so relieved," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Lecturer ended class 30 minutes early blessing!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
That referee was totally biased! We deserved to win!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
Met some amazing people at the club fair today!," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
"Bro, I finally nailed that penalty shot—felt like a pro out there!"," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
All praise be to almighty," 1. Joy
 (e.g., Lecturer ended class 30 minutes-early blessing!.)"
I didn't do well on the assignment,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I’ve been crying alone in my room… nothing seems to be going right.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I am just tired of everything lately,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Feeling low today,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I didn’t do well on my test... feeling really low right now.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"ok, noted","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Someone not understand me,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"Today I don't really feel myself today, I feel empty.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
What are doing,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Feeling really low today… some days just weigh heavier than others. Trying to hold on and breathe through it.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"I passed, but my marks were lower than I hoped.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Miss you,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Feeling really low today…,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I feel alone without you,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"feeling really down today. Nothing seems to be going right, and I just feel emotionally drained.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
My heart feels heavy whenever I think about my lover.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I have repeated in the exam,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
My current GPA is less than 3.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I do not have a mind to everything,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Next will be an exam,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I am feeling sad,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I just feel really low.It's like there's a cloud over me and I can't shake it off,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
When my favourite book character dies.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I’m feeling really down right now,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
My purse was missed by me.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
It's okay.. I'm used to it,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Scolding from parents,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Every sad situation brings You a big strength,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Iam not selected the interview,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I'm not pass the exam,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I lost my money pawvch,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Tomorrow is exam day,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Be alone,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
My best friend moved to another city,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"I studied very hard ,eventhough i got low result.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Why can't I do this,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"I’m feeling really down today. It’s like a heavy cloud is hanging over me, and I just can’t seem to shake it off. I hope tomorrow feels a little lighter","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I have a problem,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
My heart feels heavy,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"Feeling a bit down today... Sometimes things just don’t go as hoped, and it’s hard to shake the heaviness. Hoping for brighter moments soon.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
The message which says that we have lectures on weekends as well,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I failed a subject in the last exam,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
It's not my day. Feel so down today.. insha allah hope to get on my track..,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"""It's really hard to understand lectures in English… I feel lost and frustrated.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I’m feeling really down today. It’s one of those moments where everything just feels heavy,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I feel like I'm crying,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
If someone saying they are living sad,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I can’t stop crying,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
genocides on Gaza people,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
So sad,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
My boyfriend will return from abroad within 1 week... I feel very sad...,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I feel lost everything in my life,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I tried my best but I got fail,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"Huh, I’m alright","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"The pain I go through cannot be expressed in mere words, I feel like I'm falling into an abyss while something heavy tugs at my heart.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
May be it was because of the way I handled it.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I'm not feel good,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"""I tried my best, but things didn’t go the way I hoped. Feeling really down today.""","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
You have changed a lot,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I miss those moments,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
When we miss a closest person in life,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I studied really hard for this exam but didn’t get the marks I expected… feeling so down,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Loss of a family member,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I am done with life. Everything seems messed up around me. I am stressed,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
"Just feeling a bit down today. Not really sure why. just one of those days, I guess.","2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Feeling a bit down today—just one of those days where everything feels a little heavier than usual.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
Well.. feeling sad,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
You made me cry infront of everyone.,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
need theraphy,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I am not well,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
I have not enough money to help someone,"2.Sadness  
 (e.g., Missed the scholarship by just 1 mark.)"
